character,tags,dmg,sp,hpMul,hooks,verbs,trigger,ratio,react,depends on,bio
Wex,Hull / Crew,9,104,1,1,barrier,,,,,"Hull tech. Patches things before they fail, including people."
Tarn,Hull / Ordnance,7,82,0.8,3,thorns taunt needsGuard,,,,a barrier source,Wears the ship’s old boarding plate. Steps in front of everything and lets it hit her.
Ferrule,Hull / Ordnance,13,88,1,2,barrier onHitBarrier,,,,,Welder. Throws plating over whoever is nearest when she swings.
Ballast,Hull,13,74,1.5,2,taunt drain,,,,,Was cargo crew. Absorbs punishment and keeps walking.
Ash,Blight,8,100,1,3,apply shred aoe,,,,a detonator,Xeno-chemist. Aerosolises samples and lets the wind do the rest.
Cinder,Blight / Ordnance,12,94,1,1,apply,,,,a detonator,Reactor tech. Everything she touches keeps burning after she leaves.
Pyre,Blight,11,92,1,1,detonate,,,,someone to seed,"Demolitions. Waits for the pile to get big enough, then lights it."
Sump,Blight / Crew,9,98,1,3,apply spread heal,,,,a detonator,Field biologist. Corruption jumps hosts when one dies; she counts on it.
Vane,Drive / Crew,9,112,1,1,advance,,,,,Helm. Reads the flow of a fight and shoves people into it early.
Nettle,Drive,8,120,1,1,trig,ally,0.42,4,,"Too fast, too eager. Fires whenever anyone else does."
Mote,Drive / Assay,9,116,1,2,shred aoe,,,,,Survey drone pilot. Sweeps the whole line looking for cracks.
Corr,Ordnance,25,84,1,0,,,,,,Ship’s gunner. One target. One number.
Bosk,Ordnance / Hull,17,80,1.25,0,,,,,,"Ex-salvage. Enormous, patient, hits like falling cargo."
Maul,Ordnance / Assay,20,70,1,1,trig,break,2.2,1,someone to break,"Waits for something to crack, then puts everything into the gap."
Quill,Assay / Blight,9,110,1,1,marks,,,,,Xeno-botanist. Tags every specimen before she touches it.
Vitre,Assay / Drive,8,108,1,3,shred marks aoe,,,,,"Sensor officer. Paints the whole line at once, lightly."
Rime,Assay,9,98,1,2,shred aoe,,,,,Cryo-analyst. Freezes a shell until it fractures on its own.
Ledger,Assay / Drive,13,96,1,1,trig,mark,0.8,2,someone to mark,Ship archivist. Answers every hit on anything Quill has written down.
Fen,Crew,6,106,1,1,heal,,,,,Ship medic. Treats the crew like equipment: patched before it fails.
Mire,Crew / Hull,10,100,1,3,thorns heal over,,,,someone to pull fire,"Navigator. Calm, unhurried, hits back without seeming to notice."
Halo,Crew / Drive,7,94,1,1,charge,,,,,Reactor engineer. Gives away her own power and runs cold doing it.
