field,value
Generated by,node sweep.js  then  python3 build-workbook.py
Teams sampled,12
Characters per team,5
Fights per difficulty probe,26
Difficulty ceiling,24
Binary search steps,10
Baseline (mean team score),1.992
Worlds,"open, murk, hive, fortress, bloom"
,
WHAT A SCORE MEANS,
bp,Breakpoint: the difficulty multiplier at which the team still wins 3 fights in 4.
,Higher is stronger. Scored by breakpoint rather than win rate because win rate
,saturates and stops discriminating once a team is comfortably ahead.
,
WHY THE CEILING MATTERS,
,scoreTeam searches difficulty over a range. With the old default of 6.0 the highest
,"value it could return was 5.96, which means 'beat the hardest difficulty tried' and"
,"not a breakpoint. Strong teams landed there on two worlds of five, flattening the"
,top of every ranking. Everything here uses a ceiling of 24.
,
WHAT THIS CANNOT TELL YOU,
,"Neither engine models element as a property of a character; both assign it by array position, and Harmony is never evaluated. Everything here is a finding about verbs and tags only."
,
DEFAULT TUNING,
SHPER,14
UN,0.2
SOAK,0.55
VULN,0.35
DELAY,0.35
,
TABS,
Roster,"Every character: tags, stats, which verbs it carries, what it depends on"
Verbs,How many characters carry each verb. A verb on one character gives every
,chain through it exactly one possible shape
Teams,"Sampled teams scored on every world. Sort by avg, or by swing to find the"
,most world-dependent builds
Characters,How much banning each character costs the ceiling — the mandatory-unit test
Tag lift,"Mean team score when N of a tag are present, against baseline"
Worlds,Which worlds discriminate between teams and which only measure competence
Sensitivity,"One combat constant varied at a time, everything else at default"
Sensitivity summary,Which constants actually move the game. Start here
